,0
0,there
1,through
2,own
3,between
4,at
5,did
6,those
7,no
8,mustn
9,do
10,mightn
11,be
12,hadn
13,ours
14,yourself
15,was
16,herself
17,most
18,now
19,their
20,y
21,during
22,off
23,into
24,each
25,they
26,whom
27,why
28,few
29,who
30,she
31,or
32,my
33,will
34,does
35,to
36,once
37,aren't
38,him
39,d
40,you've
41,on
42,your
43,after
44,shouldn't
45,ourselves
46,you're
47,he
48,again
49,you'll
50,nor
51,ll
52,here
53,has
54,didn
55,have
56,with
57,she's
58,just
59,as
60,only
61,isn
62,needn
63,wasn't
64,for
65,than
66,re
67,too
68,doesn
69,it's
70,isn't
71,haven
72,up
73,and
74,about
75,yours
76,is
77,our
78,you
79,it
80,while
81,more
82,mightn't
83,ain
84,hasn't
85,which
86,shouldn
87,over
88,in
89,down
90,can
91,should
92,from
93,very
94,itself
95,of
96,how
97,couldn
98,ve
99,what
100,them
101,against
102,so
103,won
104,same
105,some
106,we
107,shan
108,because
109,hers
110,weren't
111,that
112,when
113,s
114,should've
115,me
116,out
117,further
118,shan't
119,are
120,wasn
121,if
122,the
123,had
124,an
125,don
126,hadn't
127,being
128,i
129,didn't
130,yourselves
131,needn't
132,by
133,not
134,theirs
135,himself
136,m
137,themselves
138,you'd
139,its
140,were
141,having
142,before
143,aren
144,weren
145,mustn't
146,such
147,wouldn
148,below
149,ma
150,that'll
151,couldn't
152,this
153,doing
154,t
155,haven't
156,his
157,her
158,a
159,any
160,where
161,am
162,myself
163,until
164,all
165,been
166,other
167,doesn't
168,above
169,both
170,won't
171,under
172,wouldn't
173,don't
174,these
175,o
176,then
177,hasn
178,but
